Country Name,Country Code,Time,Time Code,"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]"
Belgium,BEL,1973,YR1973,1.505954653
Belgium,BEL,1974,YR1974,2.029158567
Belgium,BEL,1975,YR1975,1.453450549
Belgium,BEL,1976,YR1976,1.225906902
Belgium,BEL,1977,YR1977,1.539028796
Belgium,BEL,1978,YR1978,1.418122729
Belgium,BEL,1979,YR1979,0.97156477
Belgium,BEL,1980,YR1980,1.217999173
Belgium,BEL,1981,YR1981,1.323832479
Belgium,BEL,1982,YR1982,1.598528905
Belgium,BEL,1983,YR1983,1.479281134
Belgium,BEL,1984,YR1984,0.467153203
Belgium,BEL,1985,YR1985,1.218860737
Belgium,BEL,1986,YR1986,0.608121459
Belgium,BEL,1987,YR1987,1.576310715
Belgium,BEL,1988,YR1988,3.211644354
Belgium,BEL,1989,YR1989,4.274890291
Belgium,BEL,1990,YR1990,3.918892271
Belgium,BEL,1991,YR1991,4.447539571
Belgium,BEL,1992,YR1992,4.806934393
Belgium,BEL,1993,YR1993,4.783692639
Belgium,BEL,1994,YR1994,3.476574826
Belgium,BEL,1995,YR1995,3.711024447
Belgium,BEL,1996,YR1996,5.03718761
Belgium,BEL,1997,YR1997,4.74788988
Belgium,BEL,1998,YR1998,8.776794077
Belgium,BEL,1999,YR1999,46.34845715
Belgium,BEL,2000,YR2000,37.4753123
Belgium,BEL,2001,YR2001,37.25646948
Belgium,BEL,2002,YR2002,7.01242444
Belgium,BEL,2003,YR2003,10.86487449
Belgium,BEL,2004,YR2004,12.05211067
Belgium,BEL,2005,YR2005,8.727177202
Belgium,BEL,2006,YR2006,14.40787139
Belgium,BEL,2007,YR2007,20.50267401
Belgium,BEL,2008,YR2008,36.80292045
Belgium,BEL,2009,YR2009,16.00700292
Belgium,BEL,2010,YR2010,26.066982
Belgium,BEL,2011,YR2011,31.26598335
Belgium,BEL,2012,YR2012,2.380369601
Belgium,BEL,2013,YR2013,-5.680612374
Belgium,BEL,2014,YR2014,-2.840147495
Belgium,BEL,2015,YR2015,-4.220796953
Belgium,BEL,2016,YR2016,12.08629548
Belgium,BEL,2017,YR2017,-7.416757538
Belgium,BEL,2018,YR2018,-7.657179957
Belgium,BEL,2019,YR2019,-3.989794483
Belgium,BEL,2020,YR2020,-4.635556118
Belgium,BEL,2021,YR2021,4.044205098
Belgium,BEL,2022,YR2022,1.692517422
